miniscule: valley of the lost ants;-;CeX: £1;1;-;Unavailable on CP;-, CeX: £1, -, Unavailable on CP
Fences;Denzel Washington;-;1;for later;Added to CP;Denzel Washington, -, for later, Added to CP
My name is Emily;-;-;2;-;Added to CP;-, -, -, Added to CP
_02:22;air traffic control de ja vu;-;1;-;Unavailable on CP;air traffic control de ja vu, -, -, Unavailable on CP
The Mountain Between Us;Idris Elba and Winslet crash on a mountain;CeX: £2;3;-;-;Idris Elba and Winslet crash on a mountain, CeX: £2, -, -
The big bad fox & other tales;very silly french animation;CeX: £2;2;-;Added to CP;very silly french animation, CeX: £2, -, Added to CP
The Current War;-;-;1;-;Added to CP;-, -, -, Added to CP
The new mutants;marvel X-men horror thing with kids in it ;-;2;-;Added to CP;marvel X-men horror thing with kids in it , -, -, Added to CP
Hacksaw Ridge;-;-;1;-;Added to CP;-, -, -, Added to CP
Men in Black International;watch but don’t pay for it;-;3;-;-;watch but don’t pay for it, -, -, -
The lego movie 2;-;-;3;-;-;-, -, -, -
The secret life of pets 2;-;-;3;-;-;-, -, -, -
The mustang;Horsey prisoner thing;-;2;-;-;Horsey prisoner thing, -, -, -
Shaun the Sheep Movie@ Farmageddon;-;-;1;-;Added to CP;-, -, -, Added to CP
Godzilla: King of the Monsters;-;-;2;-;-;-, -, -, -
Alita: Battle Angel;Cool animation with Christopher Waltz;-;2;-;-;Cool animation with Christopher Waltz, -, -, -
Fall City;Serious thing with ex-con, semi-romancey;-;2;-;-;Serious thing with ex-con, semi-romancey, -, -, -
Io;navel gazing toxic earth thing;Netflix;3;-;-;navel gazing toxic earth thing, Netflix, -, -
Red Joan;Commie spie thing with Judi Dench (but not as good as that);-;3;-;-;Commie spie thing with Judi Dench (but not as good as that), -, -, -
Wonder Park;Silly animation;-;3;-;-;Silly animation, -, -, -
On the basis of sex;sex discrimination thing with felicity jones;-;2;-;Added to CP;sex discrimination thing with felicity jones, -, -, Added to CP
Icebox;fullon thing about immigration into US from Honduras;-;2;for later;-;fullon thing about immigration into US from Honduras, -, for later, -
Kin;kid finds superweapon, “hilarity” ensues;Netflix;3;-;-;kid finds superweapon, “hilarity” ensues, Netflix, -, -
Level 16;Dystopian all girl school;Netflix;2;-;-;Dystopian all girl school, Netflix, -, -
Spies in disguise;Will Smith turns into a pigeon (cartoon);-;3;-;-;Will Smith turns into a pigeon (cartoon), -, -, -
destroyer;Nicole Kidman transformative thing;-;2;for later;-;Nicole Kidman transformative thing, -, for later, -
best of enemies;KKK vs school kids mother;-;2;-;-;KKK vs school kids mother, -, -, -
The Kid;Western with unrecognisable Chris Pratt;-;3;-;-;Western with unrecognisable Chris Pratt, -, -, -
Yesterday;World forgets the Beatles exist;-;2;-;Added to CP;World forgets the Beatles exist, -, -, Added to CP
The delinquent season;Cillian Murphy and Andrew Scott in adultry brilliance;-;1;not now;-;Cillian Murphy and Andrew Scott in adultry brilliance, -, not now, -
The Mule;Old Clint Eastwood as drug mule;-;3;-;-;Old Clint Eastwood as drug mule, -, -, -
Hellboy;-;-;2;-;-;-, -, -, -
Tangent Room;weird locked in room scientist thing;-;3;-;-;weird locked in room scientist thing, -, -, -
Collette;Keira Knightly biopic author thingywhatsit with stuff and things;-;3;-;-;Keira Knightly biopic author thingywhatsit with stuff and things, -, -, -
Journey’s End;WW1 thing with Asa Butterfield;-;2;-;-;WW1 thing with Asa Butterfield, -, -, -
Phantom Thread;Daniel Day-Lewis dressmaker thing;-;2;for Su;-;Daniel Day-Lewis dressmaker thing, -, for Su, -
Pottersville;Silly bigfoot thing;-;2;-;-;Silly bigfoot thing, -, -, -
Hostiles;Grimy western thing with Christian Bale and Rosamund Pike;-;2;not now;-;Grimy western thing with Christian Bale and Rosamund Pike, -, not now, -
A quiet place;be quiet or the monsters will get you;-;2;-;-;be quiet or the monsters will get you, -, -, -
Thoroughbreds;two friends want to kill their stepfather;-;3;-;-;two friends want to kill their stepfather, -, -, -
 Jurassic World: Fallen Kingdom;-;-;2;-;-;-, -, -, -
Ocean’s 8;-;-;2;-;-;-, -, -, -
The Vanishing of Sydney Hall;About a writer who goes missing;-;3;-;-;About a writer who goes missing, -, -, -
Bloody Milk;French farmer killing cows thing;-;3;-;-;French farmer killing cows thing, -, -, -
Looking Glass;Nicholas Cage in shock good film;-;2;-;-;Nicholas Cage in shock good film, -, -, -
Spinning Man;Guy Pierce and Pierce Brosnan with really, really, really, really bad accents;-;3;-;-;Guy Pierce and Pierce Brosnan with really, really, really, really bad accents, -, -, -
Lucky U Ranch;1950s kids thing where she teaches him baseball;-;3;-;-;1950s kids thing where she teaches him baseball, -, -, -
Madame;French maid masquerades as noblewoman at dinner party;-;2;-;-;French maid masquerades as noblewoman at dinner party, -, -, -
Kings;Halle Berry and Daniel Craig in race tensions thing;-;2;-;Unavailable on CP;Halle Berry and Daniel Craig in race tensions thing, -, -, Unavailable on CP
Farenheit 451;-;-;3;-;-;-, -, -, -
Sorry to bother you;Insane telemarketing alternate reality weirdness;-;2;-;-;Insane telemarketing alternate reality weirdness, -, -, -
Under the Lake;Andrew Garfield in fever dream frollicks;-;3;-;-;Andrew Garfield in fever dream frollicks, -, -, -
How to talk to girls at parties;Neil Gaimen weirdness;-;3;-;-;Neil Gaimen weirdness, -, -, -
Modern Life is Rubbish;Music based romantic thing;-;3;-;-;Music based romantic thing, -, -, -
The Cleanse;Weird theraputic retreat gone wrong with Big Bang Theory guy;-;2;-;-;Weird theraputic retreat gone wrong with Big Bang Theory guy, -, -, -
The Wife;Glenn Close and Jonathan Pryce author thing;-;3;-;-;Glenn Close and Jonathan Pryce author thing, -, -, -
Anything;Widower and trans character study;-;2;-;-;Widower and trans character study, -, -, -
Candy Jar;High school debating thing;Netflix;3;-;-;High school debating thing, Netflix, -, -
Patrick;Silly pug thing;-;3;-;-;Silly pug thing, -, -, -
